"Price","Sq.feet","Title","Address","Date.Posted","Building.Type","Bedrooms","Bathrooms","Utilities","Wi.Fi.and.More","Parking.Included","Agreement.Type","Move.In.Date","Pet.Friendly","Furnished","Air.Conditioning","Personal.Outdoor.Space","Smoking.Permitted","Appliances","Amenities","Description","Visit.Counter","url"
2350,587,"1 Bed + Den   1 Bath - 15 Fort York Apartment","15 Fort York Boulevard, Toronto, ON","2024-02-26 17:15:35","Condo","1 + Den","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 1, 2024","Limited","No","Yes","Balcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","1 Bedroom + Den at 15 Fort York Blvd Spacious,1 Bath,1 locker","319 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bed-den-1-bath-15-fort-york-apartment/1682683413"
3149,899,"50 Driftwood - Furnished 2 Bedroom Suite at Ruby Heights Apartme","50 Driftwood, Toronto, ON, M3N 2M6","2024-03-12 20:00:00","Apartment","2","1",NA,"Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Fridge / Freezer","Storage Space, Elevator in Building","Ruby Heights, located in the North York district of Toronto, has a modern flare, with bright and spacious apartments. The building is surrounded by lush green lawns, mature trees, and beautifully maintained flower beds. Ruby Heights also has a large modern lobby, and newly renovated laundry room with new front load washers, and brand new elevators.There is truly nothing else like Ruby Heights in the area, from its update corridors, to freshly painted and renovated suites, it is definitely a show piece.Units are renovated by rental commencement date and include refinished floors, ceramic tiles, updated kitchens with backsplash. nullBuilding OverivewRuby Heights, located in the North York district of Toronto, has a modern flare, with bright and spacious apartments. The building is surrounded by lush green lawns, mature trees, and beautifully maintained flower beds. Ruby Heights also has a large modern lobby, and newly renovated laundry room with new front load washers, and brand new elevators.There is truly nothing else like Ruby Heights in the area, from its update corridors, to freshly painted and renovated suites, it is definitely a show piece.Units are renovated by rental commencement date and include refinished floors, ceramic tiles, updated kitchens with backsplash.Current PromotionsOffering 1 Fully Furnished 1-Bedroom Suite!Say goodbye to the headache of furnishing your new home! Our furnished suites offer a seamless and stress-free transition in to your new living space. Call now to secure your ready made apartment today!* Valid on select suites for a limited time only. Contact the leasing team for details. Valid on new move-ins. Pricing, Incentives, and availability are subject to change or end without notice. Terms & Conditions apply. All pictures shown may not be representative of all suites available. E.&O.E. Call our dedicated team today to apply!Offering 1 Fully Furnished 2-Bedroom Suite!Say goodbye to the headache of furnishing your new home! Our furnished suites offer a seamless and stress-free transition in to your new living space. Call now to secure your ready made apartment today!* Valid on select suites for a limited time only. Contact the leasing team for details. Valid on new move-ins. Pricing, Incentives, and availability are subject to change or end without notice. Terms & Conditions apply. All pictures shown may not be representative of all suites available. E.&O.E. Call our dedicated team today to apply!",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/50-driftwood-furnished-2-bedroom-suite-at-ruby-heights-apartme/1688027068"
2744,919,"125 Bamburgh Circle - 2 Bedroom Apartment for Rent","125 Bamburgh Circle, Toronto, ON, M1W 3G4","2024-03-12 13:00:00","Apartment","2","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year","May 1, 2024","No","No","Yes","Not Included","No","Laundry (In Building)",NA,"Utilities Included",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/125-bamburgh-circle-2-bedroom-apartment-for-rent/1687981585"
2350,700,"Looking for a 2 bedroom Aparment for Feb 1st!","365 Evans Ave, Toronto, M8Z 1K2",NA,"Apartment","2","1",NA,"Not Included","1","1 Year","February 1, 2024","Limited","No","Yes","Not Included","Outdoors only",NA,NA,"I am a 23 year old single mom currently in a shelter and struggling to find a 2 bedroom apartment in the stres of etobicoke lakeshore due to my age and having a 0 credit score I am currently enrolled into trios college for medical assistant my daughter is in sk and it's been very discouraging having no word back after viewing tons of places and explaining my proof of income/credit score/ I also have references upon request from my previous apartments. rent would be monthly deposited by my government housing funds so rent is never an issue please let Me know if anyone has any apartments for rent as im desperately in need of moving thank you very much for anyone's time .","168 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/looking-for-a-2-bedroom-aparment-for-feb-1st/1682656191"
2200,750,"2 bedrooms basement apartment is available  from 1st March 2024","Scarborough, ON M1K 4G6","2024-03-02 00:19:51","Basement","2","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","0","1 Year","April 1, 2024","No","No","Yes","Not Included","Outdoors only","Laundry (In Building), Fridge / Freezer",NA,"2 spacious bedrooms apartment is ready from March 1st for rent in prime location of Scarborough near Eglington and Midland. TTC bus stop is step away & 7 min to Kennedy subway/GO. 30 min to downtown (Young & Bloor) by ttc. Restaurants, convenience store, pharmacy is in walking distance. 3 minutes to mosque and church, major groceries (freshco, nofrills) are within 1.5 km. 300 m to schools and plazas.
What’s in:
1 above grade big size bed room with double closet & 1 standard size bed room, private kitchen, 4 pcs washroom, freshly painted. Wi-Fi, heating, cooling, hot water, utilities. Laundry will be coin operated, and tenant will have to use coin.
Small family and/ working professionals are preferred, no smoking inside, pets are not acceptable because of allergic issue.
Requirements:
Credit reports, IDs, first and last month’s payment, employment letter and reference letter from previous landlord if possible.","354 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedrooms-basement-apartment-is-available-from-1st-march-2024/1685652499"
1998,700,"Scarborough Town Centre Basement Apartment for Rent","Scarborough, ON M1P 4L1","2024-03-09 00:16:59","Basement","2","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","1","1 Year","March 1, 2024","No","Yes","Yes","Not Included","No","Laundry (In Unit), Fridge / Freezer",NA,"Two bedrooms basement apartment for rent with separate entrance just newly renovated. Located near Scarborough Town Centre, includes two bedrooms, one living room/kitchen, one bathroom, and one laundry room (washer and dryer for tenants use only), and one parking spot available if needed. Close to highway 401 and one bus only to Scarborough Campus of U of T or Centennial College. Perfect for small families, working professionals, or students. Monthly rent is $1998.00 which includes hydro, water, and gas and Internet etc. utilities. Please send email to susiewu@gmail.com with brief self-introduction if you have interest.","622 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/scarborough-town-centre-basement-apartment-for-rent/1686648548"
2899,950,"Large Luxury 2-Bedroom Toronto Apartment - NEWLY RENOVATED","145 Marlee Avenue, Toronto, ON, M6B 3H3","2024-03-04 19:19:37","Apartment","2","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year","August 1, 2023","Yes","No","No","Balcony","Outdoors only","Laundry (In Building), Dishwasher, Fridge / Freezer","Bicycle Parking, Elevator in Building","ASK ABOUT OUR MOVE-IN INCENTIVES!*Rosebury Square offers large spacious luxury apartments in the heart of city. Only a ten minute walk away from Eglinton West subway, Glencairn subway & the LRT. Six Minute drive to Yorkdale Mall! Enjoy living steps away from the onsite grocery store (Sobeys), pharmacy and daycare.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/large-luxury-2-bedroom-toronto-apartment-newly-renovated/1663970708"
2225,360,"Evolv Rental Residence - Stride Apartment for Rent","25 Nicholas Avenue, Toronto, ON, M5A 0M9","2024-03-09 00:09:51","Apartment","Bachelor/Studio","1","Hydro_No,Heat_Yes,Water_No","Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No",NA,NA,"STRIDE: 1 bedroom/ 1 bathroom",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/evolv-rental-residence-stride-apartment-for-rent/1684722375"
2250,750,"Newly built 2bd+den basement  apartment for Rent in Scarborough","Scarborough, ON M1C 0C8","2024-03-10 21:15:28","Basement","2 + Den","2",NA,"Not Included","1","1 Year","March 15, 2024","No","No","Yes","Not Included","No","Laundry (In Unit), Dishwasher, Fridge / Freezer",NA,"******Special Offer*****
A lease signed before March 15th will have one week of free rent in March.
Beautiful 2 Bedroom, 2 1/2 Washroom with 1 Parking. Legalized walkout newly built basement apartment is available for long term lease from March 15th.
Located within 5 minutes walking distance from Rogue Hill Go station(Scarborough).
A full-size refrigerator, washer/dryer, dishwasher, electric stove oven, and microwave are installed.
Attached bathrooms for both bedrooms. Additional Den for a home office is an added value.
Suitable for small family or professional couples.
It is a quiet neighborhood. No noise issues. Smart camera monitoring, Steps To All Amenities, Schools, Public Transit and Grocery, just minutes' Drive To Hwy 401. TTC bus at doorstep, Go and TTC station minutes’ walk. The Scarborough town center, Bluffer Beach, and parks are a few minutes' drive. Toronto downtown is a 25-minute drive.
Please get in touch with the owner at +1-651-308-2236 / 647-975-3119 to book the viewing appointment if you have yet to see it, whenever you have time.
If interested, please fill out the application and send it to (E-mail: readyforrent3@gmail.com)with the required documents.
Serious parties are required to submit-
•	Rental Application (attached)
•	Employment letter / 2 paystubs or source of income ( if self-employed or student)
•	Credit report (full Equifax report - if new to the country, we need proof of arrival)
•	Once approved the application then we need the first and last month's rent with a damage / key deposit $50.","499 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/newly-built-2bd-den-basement-apartment-for-rent-in-scarborough/1685840885"
2500,679,"153 St George - 1 Bedroom Apartment for Rent","153 St. George Street, Toronto, ON, M5R 2L9","2024-03-12 13:00:00","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","May 1, 2024","Yes","No","No","Balcony","No","Laundry (In Building)","Storage Space","Utilities Included",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/153-st-george-1-bedroom-apartment-for-rent/1687981402"
3475,760,"Wellesley Apartments - 2 Bdrm available at 100 Wellesley Street","100 Wellesley Street East, Toronto, ON, M4Y 1H5","2024-02-18 00:35:10","Apartment","2","1","Hydro_No,Heat_No,Water_Yes","Not Included","0","1 Year","May 1, 2024","Yes","Yes","Yes","Balcony","No","Laundry (In Building)","Gym, Pool, Elevator in Building","No Last Month's Rent Deposit",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/wellesley-apartments-2-bdrm-available-at-100-wellesley-street/1682904719"
2000,698,"Brand New 1 bed Condos With & W/o Parking (Markham + Ellesmere)","20 Meadowglen Place, Scarborough, ON","2024-03-14 08:00:31","Condo","1 + Den","2","Hydro_No,Heat_Yes,Water_Yes","Not Included","1","1 Year","March 8, 2024","No","No","Yes","Balcony","Outdoors only","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Welcome to Meadowglen Place, a delightful 1-bedroom with a den, 2-bathroom residence with a very functional layout. This unit boasts over 676 square feet with tons of upgrades throughout and your own private terrace. Nestled in a prime location, this Condo offers a perfect blend of comfort, style, and functionality. The condo offers it's residents amenities such as a Gym / Exercise Room, Pool, Rooftop Deck, Bbq pits and so much more. Be the first to live in this untouched condo.","364 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/brand-new-1-bed-condos-with-w-o-parking-markham-ellesmere/1687609761"
2250,595,"Renovated One bedroom, Vaughan and Kenwood - ID 2049","227 Vaughan Road, Toronto, ON, M6C 2M3","2024-03-13 12:12:00","Apartment","1","1","Hydro_Yes,Heat_Yes,Water_Yes","Not Included","0","Not Available","May 7, 2024","Yes","No","No","Not Included","No","Laundry (In Building), Dishwasher, Fridge / Freezer",NA,NA,NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-one-bedroom-vaughan-and-kenwood-id-2049/1688077718"
1800,800,"MASSIVE 1 BED & 1 BATH APARTMENT RENTAL!!","Rubic Crescent, Scarborough, ON M1S 4X8",NA,"Basement","1","1",NA,"Not Included","1","1 Year","February 1, 2024","Limited","No","Yes","Not Included","Outdoors only",NA,NA,"Massive 1 Bedroom 1 Bath Basement unit that can be divided into two bedrooms if you’d like! Located in a prime area in Scarborough. All utilities included and includes 1 parking spot! Please send a text to (416) 219-5041 for more details.","547 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/massive-1-bed-1-bath-apartment-rental/1683179382"
2049,468,"392 Sherbourne Street - Sherwood Apartments Apartment for Rent","392 Sherbourne Street, Toronto, ON, M4X 1K3","2024-03-05 14:21:46","Apartment","1","1",NA,"Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Fridge / Freezer","Storage Space","Welcome to Sherwood Apartments, situated in an established neighbourhood, close to everything downtown Toronto has to offer. You're right in the heart of it all here. Walk your dog to Allan Gardens to enjoy life off the leash in the dog park. Get your groceries at the giant Loblaws at the former Maple Leaf Gardens. Catch a concert at the Phoenix. Your new home is located within walking distance of Ryerson and George Brown College, St. Michael's Hospital, Eaton Centre and schools. The TTC is steps from your door and Sherbourne, College, and Wellesley subway stations are all just minutes away.Your renovated rental apartment features a spacious kitchen with stainless steel appliances, chocolate parquet floors, and upgraded bathrooms. Enjoy stunning views of the city from your private balcony. You'll love the convenience of on-site laundry facilities and fully-equipped fitness facilities. You'll have peace of mind thanks to our on-site management and maintenance team and monitored security cameras. Living downtown doesn't mean you or your friends have to worry about hunting for parking. There are dedicated visitor parking spaces for your guests and assigned parking available for you. Sherwood Apartments is a Certified Rental Building.Sherbourne Apartments (392 Sherbourne Street) offers the ideal setting for your urban story. nullBuilding OverivewWelcome to Sherwood Apartments, situated in an established neighbourhood, close to everything downtown Toronto has to offer. You're right in the heart of it all here. Walk your dog to Allan Gardens to enjoy life off the leash in the dog park. Get your groceries at the giant Loblaws at the former Maple Leaf Gardens. Catch a concert at the Phoenix. Your new home is located within walking distance of Ryerson and George Brown College, St. Michael's Hospital, Eaton Centre and schools. The TTC is steps from your door and Sherbourne, College, and Wellesley subway stations are all just minutes away.Your renovated rental apartment features a spacious kitchen with stainless steel appliances, chocolate parquet floors, and upgraded bathrooms. Enjoy stunning views of the city from your private balcony. You'll love the convenience of on-site laundry facilities and fully-equipped fitness facilities. You'll have peace of mind thanks to our on-site management and maintenance team and monitored security cameras. Living downtown doesn't mean you or your friends have to worry about hunting for parking. There are dedicated visitor parking spaces for your guests and assigned parking available for you. Sherwood Apartments is a Certified Rental Building.Sherbourne Apartments (392 Sherbourne Street) offers the ideal setting for your urban story.",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/392-sherbourne-street-sherwood-apartments-apartment-for-rent/1684052966"
2150,550,"1 Bedroom Apartment - Liberty Village, King/Queen St West","Joe Shuster Way, Toronto, ON","2024-02-25 20:31:00","Condo","1","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","April 1, 2024","Limited","No","Yes","Balcony","Outdoors only","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Concierge, 24 Hour Security, Bicycle Parking, Storage Space, Elevator in Building","Amazing Lake and Park view from 15th floor, one bedroom apartment located in Liberty Village, 38 Joe Shuster Way.","77 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-apartment-liberty-village-king-queen-st-west/1686424741"
2396,521,"The Livmore High Park - 1 Bedroom Apartment for Rent","50 High Park Avenue, Toronto, ON, M4P 0B4","2024-03-14 01:26:25","Apartment","1","1",NA,"Not Included","0","1 Year",NA,"Yes","No","Yes","YardBalcony","No","Laundry (In Unit), Dishwasher, Fridge / Freezer","Gym, Pool, Storage Space, Elevator in Building","Building Amenities:",NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/the-livmore-high-park-1-bedroom-apartment-for-rent/1685349067"
3347,900,"Upscale 2 Bedroom Suite Davisville & Mt Pleasant Rd","345 Merton St., Toronto, ON, M4S 1B5","2024-03-13 17:01:43","Apartment","2","1","Hydro_No,Heat_Yes,Water_Yes","Not Included","0","1 Year","March 1, 2024","Yes","No","No","Balcony","Outdoors only","Laundry (In Building), Fridge / Freezer","Bicycle Parking, Storage Space, Elevator in Building",NA,NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/upscale-2-bedroom-suite-davisville-mt-pleasant-rd/1642488741"
2075,396,"Sunset Tower - Bachelor Apartment for Rent","200 Jameson Ave, Toronto, ON, M6K 2Z6","2024-02-25 00:42:11","Apartment","Bachelor/Studio","1",NA,"Not Included","0","1 Year",NA,"Yes","No","No","Not Included","No","Laundry (In Building), Dishwasher, Fridge / Freezer","Bicycle Parking, Elevator in Building",NA,NA,"https://www.kijiji.ca/v-apartments-condos/city-of-toronto/sunset-tower-bachelor-apartment-for-rent/1670388095"
1800,400,"Stunning 1 bedroom apt steps to keelesdale subway station","37 Yore Rd, Toronto, M6M 1W6","2024-03-14 13:02:00","Apartment","1","1","Hydro_No,Heat_Yes,Water_Yes","Internet","1","1 Year","April 1, 2024","No","No","Yes","Yard","No","Laundry (In Building), Fridge / Freezer","24 Hour Security, Bicycle Parking, Storage Space","Located in the Keelesdale neighbourhood, this is a boutique, 6 unit Toronto apartment building. Ideal for one or two professional working couple. Apts include two separate entrances front and back. Steps to the NEW Keelesdale subway station, minutes to Yorkdale Shopping mall, cafes, shops, restaurants, and easy access to the downtown core. New and reimagined design elements assure warm and welcoming spaces, maintained to the highest standard. Suite offerings at this location include 1 bedroom units. Apartments are fully renovated with careful attention to quality and detail. All units are equipped with a full range of high-end appliances and air conditioning, Complemented by superior fixtures and finishes.
Community Within close walking distance, you will conveniently find grocery stores, several bakeries, cafes, restaurants, and medical centres. This building is located on a quiet street, and has the convenience of Keelesdale Subway Station, within 2 minutes walking distance, as well as 24 hour busses running along Eglinton Avenue. There is also access to all major highways. If you are searching for parks, the Keelesdale Parks are just to the west where you can stroll along Black Creek and enjoy nature in the city.
*Available April 1st
*Apt is ideal for 1 or 2 working professionals
*Credit check and references a must
*No pets, No smoking
*Includes high speed internet
1 Parking spot
Heat and Water
*$1800/month plus Hydro
For further inquiries contact 4168764956 I don't respond to texts so kindly call the number","13 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/stunning-1-bedroom-apt-steps-to-keelesdale-subway-station/1688186741"
1500,500,"PRIVATE BASEMENT APARTMENT, LOCATED AT KENNEDY/LAWRENCE EAST","Scarborough, ON M1P 1S7","2024-03-14 01:15:31","Basement","1 + Den","1","Hydro_Yes,Heat_Yes,Water_Yes","Internet","0","1 Year","April 1, 2024","No","No","Yes","Yard","No","Laundry (In Building), Fridge / Freezer",NA,"PLEASE READ THE ENTIRE AD BEFORE CONTACTING ME. PLEASE TEXT, MESSAGE OR CALL ME AT THE LISTED NUMBER FOR QUICK RESPONSES. IF THE AD IS STILL UP, IT IS STILL AVAILABLE.","2,534 visits","https://www.kijiji.ca/v-apartments-condos/city-of-toronto/private-basement-apartment-located-at-kennedy-lawrence-east/1685515558"
